domain,t0_date,t1_date,gap_days,what_changed,fits_axis,confidence,notes
amul.com,2006-06-10,2026-07-17,7342,"Full visual/UX redesign from old table layout to modern e-commerce site. Same brand, same dairy/food category throughout.",structural,high,"Not a risk signal - same business, just modernized"
bata.in,2007-03-12,2023-09-01,6016,"t0 is a broken/partial render - loading spinner and empty image placeholders, not real content. Can't compare to t1",none,low,"t0 broken_images=0.750 confirms render failure, not real absence of content"
boat-lifestyle.com,2015-10-18,2026-07-31,3938,"Expanded from pure audio brand (headphones, speakers only) in 2015 to broad consumer electronics/wearables (smartwatches, power banks, earbuds, corporate gifting) by 2026.",category,medium,"Real multi-year category expansion, legitimate business growth - not suspicious but exactly the pattern the axis should catch"
caratlane.com,2008-09-14,2026-08-15,6544,"t1 render is essentially blank - large empty box, barely any content loaded.",none,low,"Likely JS-heavy SPA that failed to load via Wayback replay, unusable pair"
dailyobjects.com,2012-06-10,2026-07-26,5158,"Redesign with narrower, more premium product focus. Same core category (tech accessories) throughout.",structural,medium,"Mild structural drift only, not category drift"
faballey.com,2012-06-14,2025-01-19,4601,"Pivoted from fast-fashion apparel (bags, clothing, fragrances) to ""FabDiamonds by FabAlley"" - engagement rings and lab-grown diamond jewelry.",category,high,"Dramatic category jump under same brand name - clean example of what the axis exists to catch"
fabindia.com,2001-11-27,2026-07-13,8993,"t1 never rendered past the cookie-consent banner - no real content loaded.",none,low,"Render failure, unusable pair"
firstcry.com,2025-01-12,2026-07-01,534,"Both sides heavily broken (lots of missing images) but visible structure/category is consistent - kids fashion, footwear, toys, diapering on both.",none,medium,"Looks like stable business under a noisy render, not real drift - matches known replay issues documented earlier for this domain"
healthkart.com,2011-06-03,2026-08-05,5542,"Complete category replacement - home medical devices (BP monitors, nebulizers, CPAP) in 2011 became sports/bodybuilding nutrition (whey protein, creatine, pre-workout) by 2026.",category,high,"Legitimate known brand pivot, not fraud - but structurally exactly the kind of shift that should trigger re-review since new category changes risk profile"
kreditbee.in,2020-05-13,2026-08-15,2285,"Same core personal-loan/NBFC lending business on both sides. t0 has an unrelated Aarogya Setu COVID app cross-promo banner, not part of KreditBee's actual offering. Product/positioning otherwise unchanged.",none,high,"Stable business, no drift signal - useful as a negative example from the drift-prone bucket"
libas.in,2013-06-17,2026-06-30,4760,"t0 is a parked/for-sale domain page (Sedo), not a real business. t1 is a live ethnic-wear e-commerce storefront. The domain went from dormant to active between captures.",none,high,"Doesn't fit existing axes - this is ""dormant to active"" not ""business A to business B."" Worth a distinct category if this pattern recurs: parked-to-live is a different risk shape than an operating merchant drifting."
plum.in,2014-01-04,2022-10-10,3200,"Both t0 and t1 are parked domain-for-sale pages, no real business content on either side.",none,high,"Bad pair - domain was never live in this window. Should have been filtered pre-mining; quality gate doesn't currently detect parked-domain content, only broken renders."
sleepyowl.co,2017-05-16,2026-01-03,3153,"t0 is a full coffee brand site. t1 render is fragmented/broken - overlapping product images in mostly blank space, can't tell what the actual t1 page looks like.",none,low,"t1 broken_images=0.479, consistent with render failure not real content"
titan.co.in,2009-07-26,2026-02-09,6042,"Old Titan Industries corporate page (showing sister brands Sonata, Fastrack, Tanishq) redesigned into modern watches e-commerce site. Same core business/category (watches, accessories) both sides.",structural,medium,"t0 has a visible embedded 404 error box in the render, so t0 itself may be partially broken - lowers confidence slightly, but overall category is clearly unchanged"
vahdamteas.com,2016-03-09,2022-09-01,2366,"Repositioned from straightforward tea retailer (""100+ garden fresh loose leaf teas"") to wellness-framed messaging (""Wellness ReImagined,"" healing herbs/spices). Still fundamentally a tea business.",content,low,"Heavy broken-image placeholders on t1 limit confidence. If real, this is mild positioning/content drift rather than category change - core product (tea) unchanged"
wakefit.co,2017-07-02,2026-06-18,3272,"Expanded from mattress-only DTC brand (2017) to full home furniture retailer covering beds, sofas, wardrobes, dining, curtains, kids furniture, with 150+ physical stores (2026).",category,high,"Clean, large category expansion - same pattern as boat-lifestyle and wakefit's peers, legitimate business growth but exactly what re-review should catch"
wellbeingnutrition.com,2020-02-17,2026-04-21,2254,"Expanded from effervescent wellness drinks (2020) to a broader supplement line including whey protein, collagen, kids nutrition (2026).",category,medium,"Category broadening within nutraceuticals, but whey protein/sports supplements carry a different regulatory/risk profile than wellness drinks - worth flagging for re-review even as legitimate growth"
